"Trial","Subject_Time","Cue_Pos","Target_Pos"
"Valid-300","0.26626","0,8","0,8"
"Invalid-300","0.30476","4,0","8,0"
"Invalid-300","0.24846","12,4","4,8"
"Valid-100","0.42758","8,0","8,0"
"Valid-300","0.28068","0,12","0,12"
"Invalid-100","0.36875","8,12","12,4"
"Valid-300","0.3306","8,8","8,8"
"Invalid-300","0.07794","12,8","8,8"
"Valid-100","0.48963","0,4","0,4"
"Valid-100","0.3734","12,4","12,4"
"Valid-100","0.41928","4,0","4,0"
"Valid-300","0.27832","12,0","12,0"
"Invalid-100","0.5397","4,0","0,12"
"Valid-100","0.35333","8,4","8,4"
"Valid-300","0.29923","0,8","0,8"
"Invalid-300","0.23897","0,8","12,8"
"Valid-100","0.41354","8,0","8,0"
"Valid-300","0.26237","8,4","8,4"
"Valid-300","0.25267","12,0","12,0"
"Invalid-100","0.35089","12,12","4,4"
"Valid-100","0.35804","12,8","12,8"
"Valid-100","0.29597","0,4","0,4"
"Invalid-300","0.27204","4,4","12,12"
"Invalid-100","0.53607","0,12","8,12"
"Valid-300","0.25973","4,4","4,4"
"Invalid-100","0.29806","8,4","4,4"
"Invalid-300","0.25321","0,12","0,4"
"Invalid-100","0.30617","0,8","0,0"
"Invalid-100","0.388","4,0","12,0"
"Valid-100","0.34066","12,4","12,4"
"Invalid-100","0.32673","8,0","4,4"
"Invalid-300","0.29337","8,12","4,4"
"Invalid-100","0.27965","12,0","8,0"
"Valid-300","0.26486","8,4","8,4"
"Valid-300","0.13014","8,0","8,0"
"Valid-100","0.45296","0,4","0,4"
"Valid-100","0.3281","12,0","12,0"
"Valid-300","0.15396","0,12","0,12"
"Valid-300","0.34289","12,4","12,4"
"Invalid-100","0.34112","0,0","4,0"
"Valid-100","0.31493","12,0","12,0"
"Valid-300","0.20032","12,8","12,8"
"Valid-100","0.43209","4,8","4,8"
"Invalid-100","0.31897","4,4","0,8"
"Valid-100","0.38344","8,8","8,8"
"Valid-300","0.29489","4,4","4,4"
"Invalid-100","0.28248","4,12","8,8"
"Invalid-300","0.31946","4,12","12,0"
"Invalid-100","0.37309","8,0","8,8"
"Invalid-300","0.32483","0,8","12,4"
"Invalid-100","0.22459","12,8","8,8"
"Invalid-100","0.46158","0,12","4,12"
"Valid-100","0.33529","0,4","0,4"
"Valid-100","0.36498","4,4","4,4"
"Invalid-100","0.36226","8,8","8,0"
