Trial,brightness-0,brightness-10,brightness-20,brightness-30,brightness-40,brightness-50,brightness-60,brightness-70,brightness-80,brightness-90
Gray-0,0,0,16,19,20,20,20,20,20,20
Gray-40,0,0,0,14,18,20,20,20,19,20
Gray-80,1,0,3,12,11,19,20,20,20,18
Gray-120,0,0,0,1,10,18,19,20,20,20
Gray-160,1,1,1,2,14,15,17,18,19,20
Gray-200,0,0,0,0,0,0,0,0,0,0
R-80,0,0,0,0,11,18,20,20,20,20
R-120,0,0,0,1,3,13,16,18,19,20
G-80,0,0,1,8,13,16,19,20,19,20
G-120,0,0,1,2,6,13,19,19,20,20
B-80,0,0,1,1,4,18,18,19,20,19
B-120,0,0,0,0,1,1,13,19,20,20
G-120-40,0,0,0,1,2,4,16,18,19,20
G-120-50,0,0,1,1,0,3,9,10,15,20
B-120-40,0,0,0,0,3,5,5,16,20,19
B-120-50,0,0,0,0,0,1,3,13,17,19
