Pop-out,0.48452,Target,Size 4
No-target,0.58277,No-target,Size 4
Pop-out,0.56268,Target,Size 4
No-target,0.78664,No-target,Size 4
No-target,0.66043,No-target,Size 4
No-target,0.59884,No-target,Size 4
Pop-out,0.54868,Target,Size 4
Conjunction,0.4821,Target,Size 4
Pop-out,0.50154,Target,Size 4
Pop-out,0.453,Target,Size 4
Pop-out,0.41289,Target,Size 4
No-target,0.51329,No-target,Size 4
No-target,0.51122,No-target,Size 4
No-target,0.59691,No-target,Size 4
Conjunction,0.45583,Target,Size 4
No-target,0.46873,No-target,Size 4
Pop-out,0.56338,Target,Size 4
Conjunction,0.49341,Target,Size 4
No-target,0.45082,No-target,Size 4
No-target,0.52607,No-target,Size 4
No-target,0.53509,No-target,Size 4
Pop-out,0.57342,Target,Size 4
No-target,0.53,No-target,Size 4
Pop-out,0.61458,Target,Size 4
No-target,0.56746,No-target,Size 4
No-target,0.40557,No-target,Size 4
Conjunction,0.57522,Target,Size 4
Pop-out,0.50217,Target,Size 4
No-target,0.50521,No-target,Size 4
No-target,0.49873,No-target,Size 4
No-target,0.63375,No-target,Size 4
Pop-out,0.5307,Target,Size 4
No-target,0.54288,No-target,Size 4
Pop-out,0.82528,Target,Size 4
No-target,0.4497,No-target,Size 4
No-target,0.46388,No-target,Size 4
No-target,0.7279,No-target,Size 4
No-target,0.48305,No-target,Size 4
No-target,0.51549,No-target,Size 4
No-target,0.57652,No-target,Size 4
No-target,0.50547,No-target,Size 4
No-target,0.58823,No-target,Size 4
No-target,0.48274,No-target,Size 4
No-target,0.41633,No-target,Size 4
Pop-out,0.45798,Target,Size 4
Pop-out,0.46539,Target,Size 4
No-target,0.57235,No-target,Size 4
No-target,0.47949,No-target,Size 4
No-target,0.52887,No-target,Size 4
No-target,0.51417,No-target,Size 4
Pop-out,0.41168,No-target,Size 4
Conjunction,0.42291,Target,Size 4
No-target,0.4345,No-target,Size 4
Conjunction,0.48545,Target,Size 4
No-target,0.65569,No-target,Size 4
No-target,0.53782,No-target,Size 4
Conjunction,0.4413,Target,Size 4
Pop-out,0.44794,Target,Size 4
No-target,0.50247,No-target,Size 4
Pop-out,0.47648,No-target,Size 4
Conjunction,0.46143,Target,Size 4
No-target,0.56158,No-target,Size 4
Pop-out,0.39976,Target,Size 4
Conjunction,0.4284,Target,Size 4
Conjunction,0.64098,Target,Size 4
Conjunction,0.49535,Target,Size 4
No-target,0.89547,No-target,Size 4
Conjunction,0.57095,Target,Size 4
Pop-out,0.76648,Target,Size 4
Conjunction,0.58029,Target,Size 4
Pop-out,0.4306,Target,Size 4
No-target,0.6323,No-target,Size 4
No-target,0.53278,No-target,Size 4
Conjunction,0.45484,Target,Size 4
Conjunction,0.53603,Target,Size 4
No-target,0.51974,No-target,Size 4
Pop-out,0.47017,Target,Size 4
Conjunction,0.53695,Target,Size 4
No-target,0.48937,No-target,Size 4
Pop-out,0.4682,Target,Size 4
Conjunction,0.50495,Target,Size 4
Conjunction,0.5283,Target,Size 4
No-target,0.57246,No-target,Size 4
No-target,0.63172,No-target,Size 4
No-target,0.63172,No-target,Size 4
No-target,0.52042,No-target,Size 4
Pop-out,0.50736,Target,Size 4
Conjunction,0.44358,Target,Size 4
No-target,0.51764,No-target,Size 4
No-target,0.50859,No-target,Size 4
Conjunction,0.42549,Target,Size 4
Conjunction,0.43601,No-target,Size 4
Pop-out,0.45944,Target,Size 4
No-target,0.47671,No-target,Size 4
No-target,0.4875,No-target,Size 4
No-target,0.61813,No-target,Size 4
No-target,0.47817,No-target,Size 4
No-target,0.55094,No-target,Size 4
Conjunction,0.51052,Target,Size 4
Pop-out,0.48875,Target,Size 4
No-target,0.52956,No-target,Size 4
Pop-out,0.59191,Target,Size 4
No-target,0.48544,No-target,Size 4
Conjunction,0.55767,Target,Size 4
No-target,0.60243,No-target,Size 4
No-target,0.59346,No-target,Size 4
No-target,0.5273,No-target,Size 4
No-target,0.51733,No-target,Size 4
Conjunction,0.42561,Target,Size 4
Conjunction,0.40944,Target,Size 4
Conjunction,0.448,Target,Size 4
Pop-out,0.47044,Target,Size 4
No-target,0.48389,No-target,Size 4
Pop-out,0.46928,Target,Size 4
Pop-out,0.49615,Target,Size 4
Conjunction,0.43745,Target,Size 4
Conjunction,0.46114,No-target,Size 4
Pop-out,0.53265,Target,Size 4
No-target,0.59462,No-target,Size 4
No-target,0.52988,No-target,Size 4
No-target,0.49679,No-target,Size 4
