Trial,Size,User_Time,User_Input
Pop-out,4,1.7884,Target
Conjunction,4,0.94585,Target
No-target,4,1.0274,No-target
No-target,8,1.0152,No-target
Pop-out,12,0.61358,Target
Conjunction,4,1.3306,Target
No-target,12,1.1697,No-target
No-target,8,1.1883,No-target
No-target,16,0.95274,No-target
Conjunction,16,0.86096,Target
Conjunction,12,0.87389,Target
No-target,12,1.0394,No-target
Pop-out,8,0.71268,Target
Pop-out,8,0.71154,Target
No-target,16,1.2722,No-target
No-target,8,0.93979,No-target
Pop-out,12,0.59257,Target
Pop-out,12,0.68627,Target
No-target,12,0.98216,No-target
No-target,12,1.7298,No-target
Pop-out,8,0.67093,Target
Conjunction,16,0.83216,Target
Pop-out,12,0.73579,Target
Conjunction,12,0.73848,Target
Pop-out,12,0.56334,Target
Conjunction,4,0.81893,Target
Conjunction,8,0.68042,Target
Conjunction,16,0.94686,No-target
Pop-out,12,0.66392,Target
No-target,12,1.4871,Target
No-target,16,1.4301,No-target
No-target,4,1.0553,No-target
Pop-out,4,0.78505,Target
Pop-out,12,0.77264,Target
No-target,12,1.3776,No-target
Pop-out,8,0.70193,Target
No-target,4,0.98789,No-target
No-target,4,0.75163,No-target
Pop-out,8,0.61884,Target
No-target,12,0.98038,No-target
No-target,4,0.85825,No-target
No-target,16,1.1101,No-target
No-target,16,0.79522,No-target
Conjunction,8,0.73101,Target
Pop-out,4,0.85614,Target
No-target,12,1.361,No-target
No-target,16,1.0837,No-target
Pop-out,16,1.0457,Target
No-target,12,1.318,No-target
Conjunction,16,0.95915,Target
Conjunction,4,0.66985,Target
No-target,12,0.9829,No-target
No-target,8,1.3152,No-target
No-target,12,1.4996,No-target
No-target,4,1.1329,No-target
Conjunction,12,0.86549,Target
No-target,8,0.98796,No-target
No-target,8,1.187,No-target
No-target,16,1.3292,No-target
Pop-out,12,1.0672,Target
No-target,4,1.0149,No-target
No-target,4,0.71876,No-target
Conjunction,4,0.92513,Target
Conjunction,4,0.79156,Target
Conjunction,4,0.74769,Target
Pop-out,16,0.72946,Target
Conjunction,12,0.762,Target
No-target,16,0.99858,No-target
No-target,8,1.4675,No-target
No-target,4,1.1433,No-target
Pop-out,16,0.54894,Target
Conjunction,8,0.70217,Target
No-target,4,1.1988,No-target
Conjunction,4,0.84452,Target
Conjunction,16,0.86397,Target
No-target,4,1.1409,No-target
No-target,16,0.90987,No-target
No-target,16,0.90573,No-target
No-target,8,1.5807,No-target
No-target,4,1.1383,No-target
No-target,4,0.95149,No-target
Pop-out,12,0.63019,Target
No-target,8,0.96156,No-target
Conjunction,16,0.63995,Target
No-target,8,0.68441,No-target
No-target,12,1.0514,No-target
No-target,16,1.3354,No-target
Pop-out,12,0.6555,Target
Conjunction,12,0.6832,Target
No-target,12,0.86676,No-target
No-target,12,0.91208,No-target
No-target,8,0.90934,No-target
Conjunction,12,1.1293,Target
Conjunction,4,1.1184,Target
Conjunction,16,0.72103,Target
Pop-out,12,0.67651,Target
No-target,16,1.0167,No-target
Conjunction,8,0.61737,Target
No-target,4,0.67993,No-target
No-target,4,0.91982,No-target
Pop-out,16,0.65721,Target
No-target,8,1.107,No-target
Conjunction,12,0.68601,Target
No-target,16,0.95152,No-target
Conjunction,12,0.81031,Target
No-target,16,0.98255,No-target
No-target,12,0.92363,No-target
No-target,4,1.0162,No-target
Pop-out,8,0.65158,Target
Pop-out,16,0.77177,Target
No-target,16,1.0304,No-target
No-target,4,0.88169,No-target
No-target,16,1.223,No-target
No-target,16,1.1062,No-target
Pop-out,16,0.88482,Target
No-target,8,1.2488,No-target
No-target,12,1.1924,No-target
No-target,4,1.0321,No-target
Conjunction,12,0.55732,Target
No-target,8,1.2427,No-target
Conjunction,16,0.81595,Target
Pop-out,12,0.88272,Target
No-target,8,1.0255,No-target
No-target,16,1.3833,No-target
No-target,8,0.81733,No-target
No-target,12,1.0883,No-target
No-target,16,1.0201,No-target
No-target,12,0.83274,No-target
No-target,4,0.9108,No-target
Conjunction,16,1.2224,Target
No-target,8,1.3583,No-target
No-target,16,1.2955,No-target
No-target,12,0.85091,No-target
Pop-out,4,0.93914,Target
Conjunction,8,1.0055,Target
Conjunction,12,1.2717,Target
No-target,8,1.4758,No-target
No-target,16,0.99833,No-target
No-target,4,1.0066,No-target
No-target,12,0.90413,No-target
No-target,8,1.1076,No-target
Pop-out,8,0.74464,Target
No-target,12,1.0453,No-target
Conjunction,4,0.55943,Target
Pop-out,8,0.57979,Target
Pop-out,8,0.87409,Target
Pop-out,8,0.56869,Target
Conjunction,8,0.67222,Target
No-target,12,0.73187,No-target
Conjunction,4,0.78383,Target
No-target,12,1.0766,No-target
Conjunction,4,0.67931,Target
No-target,12,1.4399,No-target
No-target,8,1.0039,No-target
Conjunction,8,0.6031,Target
No-target,4,0.99549,No-target
No-target,12,1.4117,No-target
No-target,8,1.2599,No-target
No-target,8,1.7685,No-target
No-target,16,1.3047,No-target
No-target,16,1.0695,No-target
Conjunction,4,1.0691,Target
Pop-out,4,1.0502,Target
No-target,12,0.82007,No-target
No-target,4,0.68713,No-target
No-target,8,0.97975,No-target
No-target,12,1.2673,No-target
No-target,8,1.1138,No-target
Conjunction,4,0.79624,Target
No-target,16,1.1635,No-target
No-target,16,1.1793,No-target
Pop-out,16,0.89544,Target
No-target,8,1.1006,No-target
No-target,16,1.019,No-target
Pop-out,8,0.94535,Target
Pop-out,8,0.69289,No-target
No-target,8,1.3632,No-target
Pop-out,4,0.6359,Target
Pop-out,12,0.57107,Target
Conjunction,12,0.95317,Target
Pop-out,4,0.58105,Target
Pop-out,4,0.99969,Target
No-target,8,1.2807,No-target
No-target,4,0.8798,No-target
No-target,16,1.4337,No-target
Conjunction,16,0.75748,Target
No-target,16,1.6026,No-target
No-target,8,1.1257,No-target
No-target,12,1.179,No-target
No-target,16,1.2562,No-target
Conjunction,4,0.99507,Target
No-target,8,1.4153,No-target
Conjunction,12,0.80387,Target
No-target,4,1.304,No-target
No-target,16,2.3064,No-target
Conjunction,16,1.2488,Target
Conjunction,8,0.73143,Target
No-target,4,1.244,No-target
No-target,12,1.5972,No-target
No-target,4,0.77932,No-target
No-target,8,1.4102,No-target
Pop-out,4,0.99998,Target
No-target,4,0.804,No-target
No-target,8,0.92525,No-target
Pop-out,12,0.63523,Target
Conjunction,4,0.64614,Target
No-target,8,0.81566,No-target
No-target,4,0.87116,No-target
Pop-out,16,0.61781,Target
Conjunction,4,0.78242,No-target
No-target,12,1.0614,No-target
Conjunction,12,0.68294,Target
Conjunction,4,0.70331,Target
Conjunction,16,0.85888,Target
Conjunction,8,0.67693,Target
No-target,4,0.78617,No-target
Conjunction,16,0.70236,Target
Conjunction,8,1.0728,Target
No-target,8,1.2314,No-target
No-target,8,1.0732,No-target
Conjunction,8,1.0255,Target
Conjunction,8,0.67128,Target
Conjunction,12,0.78507,Target
